date,co2_ppm,ch4_ppb,n2o_ppb,anomaly,irradiance,co2,primary_energy_consumption,land_use_change_co2,time_since_baseline,co2_ppm_growth_rate,ch4_ppb_growth_rate,n2o_ppb_growth_rate,co2_ma_12,temp_ma_12
2009-11-01,386.23,1797.86,322.71,80.0,,,,,50.83367556468173,0.004734528238079072,0.0003060128747962576,0.0028278433809818537,387.4891666666667,64.33333333333333
2009-12-01,387.63,1796.73,322.84,67.0,,,,,50.91581108829569,0.004769434148111706,8.905859498931079e-05,0.002670973352381978,387.6425,65.5
2010-01-01,388.91,1797.37,322.91,74.0,,33317.672,141602.047,6517.829,51.00068446269678,0.0044941498566521965,0.0012868650630062373,0.002172496198131757,387.78749999999997,66.33333333333333
2010-02-01,390.41,1798.96,322.93,84.0,,,,,51.08555783709788,0.006989940675780293,0.0018768204322814341,0.0018303654526277136,388.0133333333334,68.91666666666667
2010-03-01,391.37,1799.49,322.94,92.0,,,,,51.162217659137575,0.005989101377750217,0.0019822598876348962,0.0020790020790020236,388.20750000000004,72.16666666666667
2010-04-01,392.67,1799.61,322.97,85.0,,,,,51.24709103353867,0.0074661330049261565,0.002261145609980142,0.0027010245265446375,388.45000000000005,74.16666666666667
2010-05-01,393.21,1797.63,323.01,75.0,,,,,51.32922655715264,0.007300952966492469,0.002917875474224507,0.003198956456922808,388.68750000000006,75.0
2010-06-01,392.38,1792.4,323.0,67.0,,,,,51.41409993155373,0.006877084937131128,0.003049889476482326,0.0032613759900606,388.9108333333333,75.25
2010-07-01,390.41,1789.29,323.02,63.0,,,,,51.49623545516769,0.005589326189985533,0.0023696682464455776,0.0031053971802994518,389.0916666666667,74.41666666666667
2010-08-01,388.54,1794.0,323.1,67.0,,,,,51.58110882956879,0.005824639519532049,0.002839702166670399,0.002948936830668991,389.2791666666667,74.25
2010-09-01,387.03,1801.93,323.26,63.0,,,,,51.66598220396988,0.005403299129757011,0.003966993720783796,0.0029785913744957426,389.45250000000004,73.5
2010-10-01,387.43,1806.73,323.51,71.0,,,,,51.748117727583846,0.007253535773710462,0.0048498061746040655,0.0031006790487115854,389.685,74.0
2010-11-01,388.87,1807.07,323.75,81.0,,,,,51.832991101984945,0.006835305387981272,0.005122757055610494,0.0032227076942146216,389.90500000000003,74.08333333333333
2010-12-01,389.99,1803.28,323.92,45.0,,,,,51.9151266255989,0.0060882800608828,0.0036455115682378914,0.0033453103704623732,390.1016666666667,72.25
2011-01-01,391.5,1799.99,324.03,52.0,,34479.988,144913.297,6392.556,52.0,0.006659638476768315,0.0014576853958840896,0.003468458703663302,390.31750000000005,70.41666666666667
2011-02-01,392.05,1800.03,324.07,47.0,,,,,52.0848733744011,0.004200712071924295,0.000594788099790966,0.003530176818505426,390.45416666666665,67.33333333333333
2011-03-01,392.8,1801.03,324.07,65.0,,,,,52.16153319644079,0.00365383141272968,0.0008557980316645786,0.0034991020003716233,390.5733333333333,65.08333333333333
2011-04-01,393.44,1802.82,324.06,64.0,,,,,52.24640657084189,0.001960934117706925,0.0017837198059580395,0.0033749264637581433,390.6375,63.333333333333336
2011-05-01,394.41,1803.13,324.05,53.0,,,,,52.328542094455855,0.0030518043793394956,0.003059584007832461,0.003219714559920872,390.73749999999995,61.5
2011-06-01,393.95,1798.99,324.05,62.0,,,,,52.41341546885695,0.004001223303940149,0.0036766346797589833,0.0032507739938081315,390.86833333333334,61.083333333333336
2011-07-01,392.72,1796.05,324.05,70.0,,,,,52.49555099247091,0.005916856637893542,0.0037780348629903315,0.0031886570490993194,391.0608333333333,61.666666666666664
2011-08-01,390.33,1798.99,324.1,75.0,,,,,52.580424366872,0.00460699027127176,0.002781493868450502,0.003095017022593627,391.21,62.333333333333336
2011-09-01,389.28,1804.16,324.24,55.0,,,,,52.6652977412731,0.005813502829238093,0.0012375619474673805,0.003031615417929956,391.39750000000004,61.666666666666664
2011-10-01,389.19,1809.6,324.45,65.0,,,,,52.747433264887064,0.004542756110781365,0.0015885052000021993,0.002905628883187461,391.5441666666666,61.166666666666664
2011-11-01,390.48,1812.32,324.64,59.0,,,,,52.832306639288156,0.004140201095481855,0.0029052554687976073,0.002749034749034651,391.6783333333333,59.333333333333336
2011-12-01,392.06,1810.04,324.77,60.0,,,,,52.91444216290212,0.0053078284058565295,0.0037487245463820873,0.002624104717213971,391.85083333333336,60.583333333333336
2012-01-01,393.31,1807.44,324.9,47.0,,34954.734,147002.422,6682.122,52.99931553730322,0.0046232439335887054,0.0041389118828438765,0.0026849365799463953,392.0016666666667,60.166666666666664
2012-02-01,394.04,1808.39,324.97,48.0,,,,,53.08418891170431,0.005075883178166096,0.004644367038327157,0.0027771777702350064,392.1675,60.25
2012-03-01,394.59,1810.05,324.95,56.0,,,,,53.163586584531146,0.004557026476578407,0.005008245281866497,0.0027154627086740657,392.3166666666666,59.5
2012-04-01,396.38,1808.51,324.92,72.0,,,,,53.24845995893224,0.0074725498169987414,0.003156166450339004,0.002653829537740071,392.56166666666667,60.166666666666664
2012-05-01,396.93,1804.84,324.9,78.0,,,,,53.3305954825462,0.006389290332395214,0.0009483509231169585,0.0026230519981482736,392.7716666666667,62.25
2012-06-01,395.91,1801.04,324.86,64.0,,,,,53.4154688569473,0.0049752506663283125,0.001139528290874381,0.002499614257059024,392.935,62.416666666666664
2012-07-01,394.56,1799.36,324.87,59.0,,,,,53.497604380561256,0.004685271949480541,0.0018429331031986074,0.002530473692331503,393.08833333333337,61.5
2012-08-01,392.59,1803.29,324.97,66.0,,,,,53.582477754962355,0.005789972587297854,0.002390230073541222,0.00268435668003697,393.2766666666667,60.75
2012-09-01,391.32,1810.16,325.12,72.0,,,,,53.667351129363446,0.005240443896424196,0.0033256473926923658,0.0027140389834690026,393.4466666666667,62.166666666666664
2012-10-01,391.27,1814.86,325.28,79.0,,,,,53.74948665297741,0.005344433310208396,0.0029067197170644654,0.0025581753737093926,393.61999999999995,63.333333333333336
2012-11-01,393.2,1815.95,325.43,78.0,,,,,53.83436002737851,0.006965785699651672,0.002002957535093275,0.0024334647609660642,393.84666666666675,64.91666666666667
2012-12-01,394.57,1814.56,325.53,52.0,,,,,53.91649555099247,0.006402081314084596,0.002497182382709795,0.0023401176217014985,394.05583333333334,64.25
2013-01-01,395.78,1814.05,325.58,71.0,,35275.82,149599.734,6319.521,54.001368925393564,0.006280033561312903,0.003657106183331038,0.002092951677439281,394.2616666666666,66.25
2013-02-01,397.03,1814.15,325.62,61.0,,,,,54.08624229979466,0.007588062125672312,0.0031851536449549744,0.0020001846324275707,394.51083333333327,67.33333333333333
2013-03-01,397.66,1813.25,325.68,67.0,,,,,54.16290212183436,0.007780227577992571,0.0017679069638960598,0.00224649946145572,394.7666666666667,68.25
2013-04-01,398.64,1812.84,325.74,53.0,,,,,54.247775496235455,0.005701599475250951,0.0023942361391420253,0.002523698141080777,394.955,66.66666666666667
2013-05-01,400.02,1811.93,325.81,60.0,,,,,54.32991101984942,0.0077847479404429265,0.003928326056603426,0.0028008618036319266,395.21250000000003,65.16666666666667
2013-06-01,398.81,1808.59,325.9,69.0,,,,,54.41478439425051,0.007324897072567005,0.004192022387065286,0.0032013790555931454,395.45416666666665,65.58333333333333
2013-07-01,397.51,1805.98,325.96,60.0,,,,,54.496919917864474,0.007476682887266772,0.003679085897208001,0.0033551882291378288,395.7,65.66666666666667
2013-08-01,395.39,1808.52,325.98,70.0,,,,,54.58179329226557,0.00713212257062068,0.002900254534766944,0.0031079791980797022,395.93333333333334,66.0
2013-09-01,393.72,1814.24,326.05,76.0,,,,,54.666666666666664,0.006133088009812937,0.002253944402704766,0.0028604822834645827,396.13333333333327,66.33333333333333
2013-10-01,393.9,1818.51,326.2,69.0,,,,,54.74880219028063,0.006721701127099022,0.0020111744156574574,0.0028283325135267656,396.3525,65.5
2013-11-01,395.36,1820.34,326.38,83.0,,,,,54.83367556468173,0.005493387589013299,0.002417467441284016,0.002919214577635776,396.53249999999997,65.91666666666667
2013-12-01,397.03,1819.32,326.52,70.0,,,,,54.91581108829569,0.006234635172466252,0.0026232254651266107,0.003041194359966859,396.73749999999995,67.41666666666667
2014-01-01,398.04,1816.76,326.61,76.0,,35465.695,151239.172,6409.911,55.00068446269678,0.005710243064328768,0.0014938948761060722,0.003163584986792811,396.9258333333333,67.83333333333333
2014-02-01,398.27,1816.27,326.66,55.0,,,,,55.08555783709788,0.0031231896833991968,0.001168591351321524,0.003193907008169017,397.0291666666667,67.33333333333333
2014-03-01,399.91,1818.06,326.72,78.0,,,,,55.162217659137575,0.005658099884323198,0.002652695436371033,0.0031933185949399867,397.21666666666664,68.25
2014-04-01,401.51,1820.88,326.79,81.0,,,,,55.24709103353867,0.0071994782259683365,0.004435030118488115,0.0032234297292319525,397.4558333333334,70.58333333333333
2014-05-01,401.96,1821.95,326.82,86.0,,,,,55.32922655715264,0.004849757512124464,0.005530014956427687,0.0030999662379913584,397.6175,72.75
2014-06-01,401.43,1818.46,326.89,67.0,,,,,55.41409993155373,0.006569544394573912,0.005457289933041842,0.0030377416385394262,397.83583333333337,72.58333333333333
2014-07-01,399.27,1815.76,327.03,58.0,,,,,55.49623545516769,0.00442756157077806,0.005415342362595332,0.0032826113633575016,397.9825,72.41666666666667
2014-08-01,397.18,1819.88,327.19,83.0,,,,,55.58110882956879,0.004527175699941877,0.006281379249331032,0.0037118841646726075,398.13166666666666,73.5
2014-09-01,395.54,1826.87,327.34,88.0,,,,,55.66598220396988,0.00462257441836833,0.0069615927330450855,0.003956448397484991,398.28333333333336,74.5
2014-10-01,396.16,1831.22,327.52,80.0,,,,,55.748117727583846,0.005737496826605959,0.006989238442461243,0.004046597179644396,398.47166666666664,75.41666666666667
2014-11-01,397.4,1833.0,327.72,67.0,,,,,55.832991101984945,0.0051598543099957705,0.006954744718019823,0.004105643728169683,398.64166666666665,74.08333333333333
2014-12-01,399.08,1833.46,327.87,78.0,,,,,55.9151266255989,0.005163337783039124,0.00777213464371318,0.004134509371554573,398.8125,74.75
2015-01-01,400.18,1833.11,327.98,86.0,,35403.527,152357.625,6512.625,56.0,0.005376344086021501,0.008999537638433308,0.004194605186613964,398.99083333333334,75.58333333333333
2015-02-01,400.55,1832.96,328.04,91.0,,,,,56.0848733744011,0.0057247595852061295,0.009189162404268147,0.00422457601175541,399.18083333333334,78.58333333333333
2015-03-01,401.74,1833.19,328.04,96.0,,,,,56.16153319644079,0.00457602960666148,0.008322057577857755,0.004040156709108622,399.3333333333333,80.08333333333333
2015-04-01,403.35,1833.15,327.98,75.0,,,,,56.24640657084189,0.004582700306343668,0.006738500065902153,0.003641482297499943,399.4866666666667,79.58333333333333
2015-05-01,404.15,1831.52,327.93,80.0,,,,,56.328542094455855,0.005448303313762448,0.005252613957572816,0.0033963649715440525,399.6691666666666,79.08333333333333
2015-06-01,402.97,1827.11,327.95,81.0,,,,,56.41341546885695,0.003836285280123697,0.00475677221385129,0.003242681024197669,399.79750000000007,80.25
2015-07-01,401.46,1824.59,328.03,73.0,,,,,56.49555099247091,0.0054850101435119925,0.004862977486011388,0.0030578234412745875,399.98,81.5
2015-08-01,399.11,1828.96,328.12,79.0,,,,,56.580424366872,0.004859257767259262,0.004989339956480654,0.002842385158470684,400.1408333333333,81.16666666666667
2015-09-01,397.82,1836.21,328.24,83.0,,,,,56.6652977412731,0.005764271628659445,0.005112569586232185,0.0027494348383945155,400.33083333333326,80.75
2015-10-01,398.49,1841.48,328.42,107.0,,,,,56.747433264887064,0.005881462035541185,0.005602822162274368,0.002747923790913598,400.52500000000003,83.0
2015-11-01,400.27,1844.54,328.61,106.0,,,,,56.832306639288156,0.0072219426270760945,0.006295690125477371,0.002715732942756066,400.76416666666665,86.25
2015-12-01,402.06,1844.74,328.77,117.0,,,,,56.91444216290212,0.0074671745013532576,0.0061523022045748554,0.0027449903925336194,401.01250000000005,89.5
2016-01-01,402.73,1842.53,328.87,118.0,,35392.832,154221.484,5376.553,56.99931553730322,0.006372132540356956,0.005138807818406921,0.0027135800963473677,401.22499999999997,92.16666666666667
